,heading,rating,location,img_url,text
23, 24. Dubai Gold Souk ,-1,  Located in :   Deira  ,https://www.holidify.com/images/cmsuploads/compressed/2086738222_3ab6607f20_b_20190906144838.jpg," Dubai is famous not just for its deserts, adventure parks and resorts, but for its many shopping hubs as well. Dubai's famous gold souk happens to be the world's largest gold market! Situated in Deira, this golden souk is the most famous and highly visited tourist spot in Dubai because of its excellent quality and designs of gold. With more than 350 jewellery traders and retailers, Gold Souk is restocked with at least 10 tons of gold daily. "
24, 25. Jumeirah Beach ,"
3.5
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1005654079_20190822132330_20190822132355.jpg," Stretched along the coast, south of the city's historic Al Faihidi district, this sandy white strip of sand is among the top beach destinations for the visitors of Dubai. The cluster of high-end resorts and properties such as Burj Al Arab (Arab Tower) hotel, Wild Wadi Water Park, Jumeirah Beach Hotel and Burj Al Arab (Arab Tower) hotel adds grace to the lively waterfront. For adventure buffs, there is the facility for various watersports like jet skiing, kitesurfing and more. For a quiet day at the beach, visitors can rent sun loungers too.  "
25, 26. Saeed Al Maktoum House ,"
4.5
 /5
",  Located in :   Deira  ,https://www.holidify.com/images/cmsuploads/compressed/Sheikh_Makhtoum_house_courtyard_March_2008f_20190828105718.JPG," Al Maktoum House is a historic building located in the Al Shindagha Area of the city. Former residence of Dubai’s then ruler Saeed Bin Maktoum Al Maktoum, the house built in 1896 is now a museum. Visitors can enjoy and get to know about the city and royal family’s culture and lifestyle. It is now a famous tourist spot which impresses residents and visitors with its simple yet vast stature, open areas and courtyards, and cooling wind towers. You can find a lot of old pictures, documents, stamps and coins, jewellery and decorative items in this ancient museum. "
26, 27. Dubai Opera ,-1,  Located in :   Downtown Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/beauty-cityscape-dubai-1375254(1)_20190906153422.jpg," Located in Downtown Dubai, this 2016 established Opera is one of the finest and radiant cultural and art centres. Built by the famous Emaar properties, Dubai Opera is a multi-format performing arts centre with the capacity of holding approximately 2000 persons. It engages the audience and brings an exciting vibe and life to the place. Dubai Opera is a unique blend of art and culture and presents something you’ve never had seen before. The opera is shaped like a dhow or a sailing vessel and hosts several performances like theatre, ballets, concerts, orchestras, conferences and even fashion shows. "
27, 28. Atlantis the Palm ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/the-palm-962785_960_720_20190929183908.jpg," With a private sandy beach and 5-star amenities, Atlantis is the first ever resort to be built on the Palm Jumeirah Island in Dubai. Offering mesmerizing views of the Arabian Gulf and being themed on the myth of Atlantis, this resort inculcates a few distinct Arabian elements. Providing unique features such as an underwater aquarium and swimming with dolphin opportunities, Palm Atlantis is surely one of the world’s most popular attraction destination for tourists. "
28, 29. IMG Worlds of Adventure ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/41502472994_7cfe601b9c_b_20190127130031.jpg," Established in 2016 in ‘the heart of Dubai’, IMG is the city’s first mega indoor theme park with world-class amenities and entertainment. Situated on the famous Sheikh Mohammed Bin Zayed Road, this cartoon-themed park sprawls across 1.5 million square feet of amusement park space. Located next to Global village, this entertainment destination is full of live shows, attractive rides, movies and fantastic food options. Popular franchises there are characters from Frozen, Disney, Cars, Marvel, DC comics and more. "
29, 30. OliOli ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/oli-oli08-770x578_20190321203646.jpg," OliOli located on Sheikh Zayed Road is an interactive play area for children. With eight galleries holding more than 40 exhibits and frequent workshops, OliOli has managed to capture the hearts of both parents and children alike in just a few short months. While the galleries are designed to create a fun, joyful and safe atmosphere, they also create a learning space where children can explore topics like Science, Technology, Engineering, Arts and Mathematics (STEAM). This interactive museum provided a hands-on experience that not many other places could afford, and that’s what made it stand out from the other edutainment centres in Dubai. "
30, 31. Ras Al Khor Wildlife Sanctuary ,-1,DUBAI,"https://www.holidify.com/images/cmsuploads/compressed/800px-Flamingos_at_the_Ras_Al_Khor_Wildlife_Sanctuary,_Dubai_20180711144832.jpg"," With over 500 flamingos and several species of birds and fishes, Ras Al Khor Wildlife Sanctuary is a wetland reserve. Perfect for tourists, environmentalists, photographers and botanists, it is a protected area and has a large number of migratory birds, fishes, crustaceans and mammals. This delicate and vast ecosystem has three birding hides which allow visitors to explore and engage in bird spotting. "
31, 32. Dubai Butterfly Garden ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/dbg_image-01_20190726163234.jpg," Situated at the the Dubai Miracle Garden, the Dubai Butterfly Garden is the world's largest, housing 15 thousand butterflies and around 50 various species of butterflies all bearing different colours, features and shape. With its butterfly Museum, Educational Centre and Cinema, the Dubai Butterfly Garden provides a great opportunity for the visitors to learn more about the advancement of butterflies through each stage making it an ideal place to visit with kids. "
32, 33. Bungee Jumping ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/2013_bungee_1_base_20180711150809.jpg, Bungee jumping in a city full of skyscrapers is a must-try when in Dubai. Gravity Zone is Dubai's first permanent bungee operator and takes you as high as 50 meters from where you will free fall! Get the fantastic view of the Dubai cityscape as you free fall to the view of the Burj Khalifa and the magnificent Dubai waterfront. The professionals ensure that everyone is safe and sound while jumping off the tall crane with bungee elastic cords being attached to your body. You can jump solo or with your friends and family in a group of two and double up the fun of this thrilling activity! 
33, 34. Dubai Museum ,"
3.8
 /5
",  Located in :   Deira  ,https://www.holidify.com/images/cmsuploads/compressed/attr_1421_20190906104630.jpg," Nestled in the Al-Fahidi Fort, this magnificent museum of Dubai was built in 1787 and is the oldest building in the Emirate. Restored in the year 1971 by the ruler of Dubai and then extensively renovated in 1995, today this beautiful architecture houses the city's heritage and many important historical events. While the main aim of the museum is to present the traditional way of life in the Emirate of Dubai, it also showcases fascinating old maps of the Emirates and Dubai explaining the giant expansion of the region after the oil boom.  "
34, 35. Alserkal Avenue ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/akaa-2019-dubai-05_5312_r_20190830152540.jpg," Alserkal Avenue is an arts and culture district in Al Quoz, Dubai. Started as an industrial unit with several warehouses, the community has now been transformed into a significant art and culture forum. The Alserkal District accommodates several houses for local and global artists, art galleries, museums, performing platforms, design studios and exhibition halls. The place is a perfect amalgamation of engineering and creative spaces and at present has more than 94 warehouses. "
35, 36. Mall of the Emirates ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/Mall_of_the_Emirates_20190414113024.jpg," The Mall of the Emirates, located in the Al Barsha area of West Dubai, is a shopping mall frequented by both tourists and residents of UAE. It is a one-stop-shop destination that has earned it the epithet of being the ""World’s first shopping resort."" It has also been named as the “World's Leading New Shopping Mall”. The Mall of the Emirates is home to a magnificent family leisure centre housing Ski Dubai, an indoor ski resort and Snow Park, the first of its kind in the Middle East.  "
36, 37. Dubai Water Canal  ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/800px-Dubai_Water_Canal_20190917152620.jpg," Dubai Water Canal is one of the most exotic, exorbitant and eco-friendly projects of the Emirate. It stretches over a 3.2-kilometer waterway from the Creek in Old Dubai all the way to the Arabian Gulf. The canal is not just an attraction, it serves as a functional transportation system and provides routes to commute within the city. "
37, 38. Wild Wadi ,"
3.5
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/WildWadi_20170925112323.jpg," Wild Wadi Water Park is one of the premier water parks of Dubai and boasts of innovative rides for all ages providing a unique experience for visitors. Located in front of the iconic Burj Al Arab, Wild Wadi Water Park is themed around Juha, the character from the very popular folktale Arabian nights. Apart from the rides, the water park also provides an excellent surfing experience.  "
38, 39. VR Park Dubai Mall ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/41646225824_079fa677c4_b_20190915221521.jpg," Spread over a large 76,000 sq.ft area, VR Park Dubai is the world’s largest among its tribe and is a must-visit place while visiting Dubai Mall. First of its kind in the UAE, a dedicated VR themed park at Dubai Mall is the latest craze for AR and VR fans. It has mind-boggling VR games and experiences such as Dubai Drone, Apex, and the legendary John Wick experience. "
39, 40. Laguna Water Park ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/06-the-wave-oz-2_20190917150049.jpg," Dubai's water paradise, Laguna Water Park is nestled in Dubai's finest Beachfront locations of La Mer. It hosts a series of thrilling and exhilarating water rides for the adventurer in you. Other than water rides, you can indulge in shopping at the retail outlets and savor on the variety of delicious food at eateries like Roti Rollers, Zou Zou restaurant and more. 
 "
40, 41. Kite Beach ,"
3.0
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_749793508_20190905101749.jpg," Not just a beachgoers hub, but a regular spot for watersports enthusiasts, Kite Beach, is the newest beach in Dubai to have a lasting impression on visitors. Wakeboarding, kitesurfing and paddleboarding are a few things that visitors try out when visiting Kite Beach. One can try their hand at volleyball too with the net set upright on the beach. Kite Beach is a local and tourists favourite beach destination with its clean sands, adventure and relaxing opportunities available at everyone's disposal.  "
41, 42. Dubai Shopping Festival ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/Shopping_at_Dubai_Festival_City_Mall_20190121222946.jpg," The Dubai Shopping Festival is a haven for shopaholics around the globe. The festival carries on for more than a month, starting from the last week of December to the first week of February. Major brands showrooms in Dubai have huge discounts on their products, making the deals inevitable for even the most reluctant shoppers. One can buy all sorts of products like clothes, electronic accessories, branded perfumes, food items, home décor, gold jewellery all at slashed prices. The discounts on prices of all go down to a jaw-dropping 75%. The highlight of the festival is the famous Global Village.  "
42," 43. Grand Mosque, Dubai ","
3.5
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_458786134_20190902154929.jpg," Home to Dubai's tallest minaret (70m), the Grand Mosque or the Grand Bur Dubai Masjid is an Iranian style mosque that is part of the city's heritage district. The interiors of the mosque is filled with beautiful blue mosaic work that attracts visitors from all over. The mosque is off limits to non-muslims. Built in 1900, the mosque was initially an Islamic Scool forthe teachings of the Quran and was rebuilt in 1998 as a Mosque to the public. "
43, 44. At the Top Burj Khalifa ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/15697935478_58eff1108c_k_20190510165348.jpg," Giving a mesmerising view of the horizon, the At the Top Burj Khalifa tour is a showstopper for those of you out there who wish to know what the view is like from the world's tallest tower. Developed specifically for the tourists, the At the Top tour and At the Top SKY tour takes you to one of the highest observation decks in the world! "
44, 45. Madinat Jumeirah ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_382420696_20190822132815_20190822132833.jpg," Situated in Dubai, Madinat Jumeirah is a luxurious 5-star resort built with the motto of ?staying different?. One of the largest resorts in Emirates, it has a private beach, several restaurants, ballrooms, an amphitheatre, fitness clubs, kids club, theatre rooms and a turtle sanctuary as well. Madinat Jumeirah has three grand hotels- Jumeirah Al Qasr, Jumeirah Mina A’salam and Jumeirah Al Naseem, and Jumeirah Dar Al Masyaf which has summerhouses and villas. The resort also has its own Jumeirah Souk which has more than eighty shops, bars and restaurants. All the guests staying in the hotels of Madinat Jumeirah get a complimentary access to the private beach, wild wadi waterpark, kids club, Jumeirah souk, turtle sanctuary and talise spa and fitness centres. "
45, 46. Al Qudra Lake ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/32223982677_fa79291582_o_20190813124333.jpg," A part of the Al Marmoom Desert Conservation Reserve, the Al Qudra Lake is a series of human-made lakes located right in the middle of the Saih Al Salam desert, on the southern outskirts of Dubai. A perfect place to visit for all nature lovers, the attraction comprises of extensive dunes and oasis-like pools, along with plenty of fauna and over 100 species of birds and desert plants. "
46, 47. Dubai Autodrome ,"
3.4
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_69097420_20190822140241_20190822140247.jpg," Dubai Autodrome is a one-of-a-kind integrated motorsport facility with a sanctioned circuit of 5.39 km. Visitors and motor-enthusiasts can drive some of the famed racecars like the McLaren Sprint and the Ferrari GT at the Kartdrome for real-life racing experience. There are also other activities for the children like birthday parties, kart races for children, simulated races and more. Children have to 7+ years to participate in most of the activities.  "
47, 48. Dubai Spice Souk ,-1,  Located in :   Deira  ,https://www.holidify.com/images/cmsuploads/compressed/800px-Spice_Souq_Dubai_10_20190830102518.jpg," Famous for its amazing quality and variety of herbs, spices and flavours, Dubai Spice Souks, also known as Old Souk, is all you need to visit for a visual as well as for a taste treat. The air is filled with a unique blend of smells and aromas. Situated in Deira, visitors can find other products like unique Arabian rugs and lanterns, dried fruits and traditional UAE clothing as well. It is the perfect place in Dubai for souvenir shopping.  "
48, 49. Etihad Museum ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1038348136_20190822133614_20190822133619.jpg," Situated on Jumeirah Road, the Etihad Museum is a historical place which consists of everything old and new. Also called the union house, it serves as a place which recites the story of the birth of the UAE. Managed by the Dubai Culture and Arts Authority, this museum collects, preserves and exhibits the heritage and traditions of the city and the country. It has a total of eight pavilions that depict a different story of the UAE.  "
49, 50. The Lost Chambers Aquarium ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_646177342_20190830104447.jpg," The Lost Chambers Aquarium is the largest aquarium in the United Arab Emirates which is located in a five-star luxury hotel Atlantis, The Palm. This aquarium is designed to the theme of the Lost City of Atlantis. With over 65,000 marine creatures from the depth of the Arabian Sea, UAE's largest aquarium is a must-visit for people of all ages, especially families with younger children. "
50, 51. Ibn Battuta Mall ,"
3.6
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_378472549_20190822133755_20190822133801.jpg," Situated on Sheikh Zayed Road, Ibn Battuta Mall is huge shopping complex named after a great explorer, Ibn Battuta. Narrating the journey of the famous 14th-century explorer, the mall is divided into six country-themed courts, Persian Court being the most popular one which is enveloped by a hand-painted dome. Apart from 270 shops, there are 50 restaurants and eateries, a 21-screen cinema, a trampoline park and a bowling alley.  "
51, 52. Dubai Safari Park ,"
3.8
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/Cover-Image_20200626121838.jpg," This beautiful park has over 3000 animals from across the globe and has become a popular attraction in Dubai for locals and tourists alike. The zoo is divided into various zones named as 'Villages', and these are classified based on the regions around the world in which the animals are based. They are Safari Village, African Village, Asian Village, Wadi Village, Arabian Village and Kids Farm which is a playground for children to learn about wildlife.  "
52, 1. Sheikh Zayed Grand Mosque ,"
4.5
 /5
",ABU-DHABI,https://www.holidify.com/images/cmsuploads/compressed/attr_1001_20190808123742.jpg, A majestic structure nestled amid skilfully manicured gardens; Sheikh Zayed Grand Mosque serves as an impressive landmark to the beautiful city of Abu Dhabi. 
53, 2. Louvre Abu Dhabi ,"
4.1
 /5
",ABU-DHABI,https://www.holidify.com/images/cmsuploads/compressed/Louvre_Abu_Dhabi_plaza_from_balcony_20190804112231_20190804112307.jpg," The Louvre is the first art and civilisation museum of its kind in the United Arab Emirates. Located on the Saadiyat Island in the capital of the United Arab Emirates, this cultural landmark is a part of the Saadiyat Cultural District. With its strong emphasis of preservation and appreciation of culture, the emirate of Abu Dhabi is the ideal location for the Louvre.  "
54, 3. Ferrari World ,"
4.3
 /5
",ABU-DHABI,https://www.holidify.com/images/cmsuploads/compressed/attr_1002_20190814130303.jpg," Ferrari World is the world's first Ferrari 'themed' park offering adrenaline-pumping experiences to its visitors with its unique concepts in its rides. Apart from the thrilling rides, explore the state of the art simulators, live performances, electric go-karts and purchase some authentic Ferrari racing memorabilia. "
55, 4. Yas Marina Circuit ,-1,ABU-DHABI,https://www.holidify.com/images/cmsuploads/compressed/5608697758_0e5267d11a_b_20190817123923.jpg," Yas Marina is all about Abu Dhabi's opulent Grand Prix. The circuit is located on Yas Island which stands about 30 minutes away from the capital city of UAE, Abu Dhabi. There is a lot more to explore other than the tracks. The marina-based additions also house a theme park, a water park, as well as residential areas, hotels, and beaches. 
 "
56, 5. Yas Island ,-1,ABU-DHABI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_758756125_20190804111852_20190804111918.jpg," Yas Island is a 2,500-hectare human-made island in Abu Dhabi and is one of the biggest tourist attractions in UAE. This engineering marvel encompasses everything from posh hotels to shopping centres. It is also home to the famous Ferrari World and the Yas Marina Circuit which hosts the Formula One Etihad Airways Abu Dhabi Grand Prix every year since 2009. "
